exp_type,type,size,precision,lmul,time
reference,int32,1024,32,0,0.000009
intrinsics,int32,1024,32,1,0.000007
intrinsics,int32,1024,32,2,0.000004
intrinsics,int32,1024,32,4,0.000003
intrinsics,int32,1024,32,8,0.000003
reference,int64,1024,64,0,0.000003
intrinsics,int64,1024,64,1,0.000014
intrinsics,int64,1024,64,2,0.000007
intrinsics,int64,1024,64,4,0.000006
intrinsics,int64,1024,64,8,0.000006
reference,float,1024,32,0,0.000017
intrinsics,float,1024,32,1,0.000007
intrinsics,float,1024,32,2,0.000004
intrinsics,float,1024,32,4,0.000003
intrinsics,float,1024,32,8,0.000003
reference,double,1024,64,0,0.000017
intrinsics,double,1024,64,1,0.000014
intrinsics,double,1024,64,2,0.000008
intrinsics,double,1024,64,4,0.000005
intrinsics,double,1024,64,8,0.000005
exp_type,type,size,precision,lmul,time
reference,int32,2048,32,0,0.000018
intrinsics,int32,2048,32,1,0.000014
intrinsics,int32,2048,32,2,0.000008
intrinsics,int32,2048,32,4,0.000006
intrinsics,int32,2048,32,8,0.000006
reference,int64,2048,64,0,0.000006
intrinsics,int64,2048,64,1,0.000027
intrinsics,int64,2048,64,2,0.000015
intrinsics,int64,2048,64,4,0.000012
intrinsics,int64,2048,64,8,0.000012
reference,float,2048,32,0,0.000033
intrinsics,float,2048,32,1,0.000014
intrinsics,float,2048,32,2,0.000008
intrinsics,float,2048,32,4,0.000005
intrinsics,float,2048,32,8,0.000004
reference,double,2048,64,0,0.000033
intrinsics,double,2048,64,1,0.000027
intrinsics,double,2048,64,2,0.000014
intrinsics,double,2048,64,4,0.000009
intrinsics,double,2048,64,8,0.000009
exp_type,type,size,precision,lmul,time
reference,int32,4096,32,0,0.000037
intrinsics,int32,4096,32,1,0.000027
intrinsics,int32,4096,32,2,0.000015
intrinsics,int32,4096,32,4,0.000013
intrinsics,int32,4096,32,8,0.000013
reference,int64,4096,64,0,0.000012
intrinsics,int64,4096,64,1,0.000053
intrinsics,int64,4096,64,2,0.000029
intrinsics,int64,4096,64,4,0.000024
intrinsics,int64,4096,64,8,0.000025
reference,float,4096,32,0,0.000068
intrinsics,float,4096,32,1,0.000027
intrinsics,float,4096,32,2,0.000015
intrinsics,float,4096,32,4,0.000010
intrinsics,float,4096,32,8,0.000010
reference,double,4096,64,0,0.000067
intrinsics,double,4096,64,1,0.000053
intrinsics,double,4096,64,2,0.000029
intrinsics,double,4096,64,4,0.000018
intrinsics,double,4096,64,8,0.000019
exp_type,type,size,precision,lmul,time
reference,int32,8192,32,0,0.000072
intrinsics,int32,8192,32,1,0.000053
intrinsics,int32,8192,32,2,0.000030
intrinsics,int32,8192,32,4,0.000024
intrinsics,int32,8192,32,8,0.000026
reference,int64,8192,64,0,0.000024
intrinsics,int64,8192,64,1,0.000105
intrinsics,int64,8192,64,2,0.000056
intrinsics,int64,8192,64,4,0.000045
intrinsics,int64,8192,64,8,0.000051
reference,float,8192,32,0,0.000135
intrinsics,float,8192,32,1,0.000054
intrinsics,float,8192,32,2,0.000029
intrinsics,float,8192,32,4,0.000019
intrinsics,float,8192,32,8,0.000020
reference,double,8192,64,0,0.000135
intrinsics,double,8192,64,1,0.000105
intrinsics,double,8192,64,2,0.000057
intrinsics,double,8192,64,4,0.000034
intrinsics,double,8192,64,8,0.000039
exp_type,type,size,precision,lmul,time
reference,int32,16384,32,0,0.000145
intrinsics,int32,16384,32,1,0.000105
intrinsics,int32,16384,32,2,0.000056
intrinsics,int32,16384,32,4,0.000046
intrinsics,int32,16384,32,8,0.000051
reference,int64,16384,64,0,0.000049
intrinsics,int64,16384,64,1,0.000210
intrinsics,int64,16384,64,2,0.000111
intrinsics,int64,16384,64,4,0.000089
intrinsics,int64,16384,64,8,0.000102
reference,float,16384,32,0,0.000270
intrinsics,float,16384,32,1,0.000105
intrinsics,float,16384,32,2,0.000056
intrinsics,float,16384,32,4,0.000034
intrinsics,float,16384,32,8,0.000039
reference,double,16384,64,0,0.000270
intrinsics,double,16384,64,1,0.000210
intrinsics,double,16384,64,2,0.000112
intrinsics,double,16384,64,4,0.000067
intrinsics,double,16384,64,8,0.000078
exp_type,type,size,precision,lmul,time
reference,int32,32768,32,0,0.000291
intrinsics,int32,32768,32,1,0.000210
intrinsics,int32,32768,32,2,0.000120
intrinsics,int32,32768,32,4,0.000097
intrinsics,int32,32768,32,8,0.000106
reference,int64,32768,64,0,0.000097
intrinsics,int64,32768,64,1,0.000419
intrinsics,int64,32768,64,2,0.000223
intrinsics,int64,32768,64,4,0.000177
intrinsics,int64,32768,64,8,0.000205
reference,float,32768,32,0,0.000540
intrinsics,float,32768,32,1,0.000210
intrinsics,float,32768,32,2,0.000119
intrinsics,float,32768,32,4,0.000075
intrinsics,float,32768,32,8,0.000082
reference,double,32768,64,0,0.000540
intrinsics,double,32768,64,1,0.000419
intrinsics,double,32768,64,2,0.000222
intrinsics,double,32768,64,4,0.000133
intrinsics,double,32768,64,8,0.000156
exp_type,type,size,precision,lmul,time
reference,int32,65536,32,0,0.000583
intrinsics,int32,65536,32,1,0.000419
intrinsics,int32,65536,32,2,0.000237
intrinsics,int32,65536,32,4,0.000192
intrinsics,int32,65536,32,8,0.000239
reference,int64,65536,64,0,0.000193
intrinsics,int64,65536,64,1,0.000837
intrinsics,int64,65536,64,2,0.000445
intrinsics,int64,65536,64,4,0.000355
intrinsics,int64,65536,64,8,0.000598
reference,float,65536,32,0,0.001081
intrinsics,float,65536,32,1,0.000419
intrinsics,float,65536,32,2,0.000234
intrinsics,float,65536,32,4,0.000147
intrinsics,float,65536,32,8,0.000160
reference,double,65536,64,0,0.001081
intrinsics,double,65536,64,1,0.000837
intrinsics,double,65536,64,2,0.000444
intrinsics,double,65536,64,4,0.000265
intrinsics,double,65536,64,8,0.000523
exp_type,type,size,precision,lmul,time
reference,int32,131072,32,0,0.001167
intrinsics,int32,131072,32,1,0.000837
intrinsics,int32,131072,32,2,0.000470
intrinsics,int32,131072,32,4,0.000380
intrinsics,int32,131072,32,8,0.000676
reference,int64,131072,64,0,0.000387
intrinsics,int64,131072,64,1,0.001673
intrinsics,int64,131072,64,2,0.000888
intrinsics,int64,131072,64,4,0.000708
intrinsics,int64,131072,64,8,0.001377
reference,float,131072,32,0,0.002162
intrinsics,float,131072,32,1,0.000837
intrinsics,float,131072,32,2,0.000465
intrinsics,float,131072,32,4,0.000290
intrinsics,float,131072,32,8,0.000577
reference,double,131072,64,0,0.002162
intrinsics,double,131072,64,1,0.001673
intrinsics,double,131072,64,2,0.000886
intrinsics,double,131072,64,4,0.000529
intrinsics,double,131072,64,8,0.001180
exp_type,type,size,precision,lmul,time
reference,int32,262144,32,0,0.002334
intrinsics,int32,262144,32,1,0.001673
intrinsics,int32,262144,32,2,0.000936
intrinsics,int32,262144,32,4,0.000753
intrinsics,int32,262144,32,8,0.001498
reference,int64,262144,64,0,0.000775
intrinsics,int64,262144,64,1,0.003345
intrinsics,int64,262144,64,2,0.001776
intrinsics,int64,262144,64,4,0.001416
intrinsics,int64,262144,64,8,0.002755
reference,float,262144,32,0,0.004324
intrinsics,float,262144,32,1,0.001673
intrinsics,float,262144,32,2,0.000927
intrinsics,float,262144,32,4,0.000575
intrinsics,float,262144,32,8,0.001302
reference,double,262144,64,0,0.004323
intrinsics,double,262144,64,1,0.003346
intrinsics,double,262144,64,2,0.001773
intrinsics,double,262144,64,4,0.001056
intrinsics,double,262144,64,8,0.002370
exp_type,type,size,precision,lmul,time
reference,int32,524288,32,0,0.004701
intrinsics,int32,524288,32,1,0.003345
intrinsics,int32,524288,32,2,0.001909
intrinsics,int32,524288,32,4,0.001543
intrinsics,int32,524288,32,8,0.003103
reference,int64,524288,64,0,0.001551
intrinsics,int64,524288,64,1,0.006718
intrinsics,int64,524288,64,2,0.003551
intrinsics,int64,524288,64,4,0.002829
intrinsics,int64,524288,64,8,0.005588
reference,float,524288,32,0,0.008677
intrinsics,float,524288,32,1,0.003345
intrinsics,float,524288,32,2,0.001881
intrinsics,float,524288,32,4,0.001185
intrinsics,float,524288,32,8,0.002684
reference,double,524288,64,0,0.008675
intrinsics,double,524288,64,1,0.006714
intrinsics,double,524288,64,2,0.003544
intrinsics,double,524288,64,4,0.002111
intrinsics,double,524288,64,8,0.004800
exp_type,type,size,precision,lmul,time
reference,int32,1048576,32,0,0.009363
intrinsics,int32,1048576,32,1,0.006713
intrinsics,int32,1048576,32,2,0.003794
intrinsics,int32,1048576,32,4,0.003062
intrinsics,int32,1048576,32,8,0.006215
reference,int64,1048576,64,0,0.003123
intrinsics,int64,1048576,64,1,0.013409
intrinsics,int64,1048576,64,2,0.007125
intrinsics,int64,1048576,64,4,0.005682
intrinsics,int64,1048576,64,8,0.012770
reference,float,1048576,32,0,0.017352
intrinsics,float,1048576,32,1,0.006715
intrinsics,float,1048576,32,2,0.003770
intrinsics,float,1048576,32,4,0.002346
intrinsics,float,1048576,32,8,0.005393
reference,double,1048576,64,0,0.017338
intrinsics,double,1048576,64,1,0.013401
intrinsics,double,1048576,64,2,0.007110
intrinsics,double,1048576,64,4,0.004227
intrinsics,double,1048576,64,8,0.011242
exp_type,type,size,precision,lmul,time
reference,int32,2097152,32,0,0.018734
intrinsics,int32,2097152,32,1,0.013402
intrinsics,int32,2097152,32,2,0.007620
intrinsics,int32,2097152,32,4,0.006156
intrinsics,int32,2097152,32,8,0.014144
reference,int64,2097152,64,0,0.006299
intrinsics,int64,2097152,64,1,0.026838
intrinsics,int64,2097152,64,2,0.014232
intrinsics,int64,2097152,64,4,0.011352
intrinsics,int64,2097152,64,8,0.034392
reference,float,2097152,32,0,0.034710
intrinsics,float,2097152,32,1,0.013404
intrinsics,float,2097152,32,2,0.007517
intrinsics,float,2097152,32,4,0.004699
intrinsics,float,2097152,32,8,0.012563
reference,double,2097152,64,0,0.034701
intrinsics,double,2097152,64,1,0.026834
intrinsics,double,2097152,64,2,0.014228
intrinsics,double,2097152,64,4,0.008514
intrinsics,double,2097152,64,8,0.031217
exp_type,type,size,precision,lmul,time
reference,int32,4194304,32,0,0.037489
intrinsics,int32,4194304,32,1,0.026827
intrinsics,int32,4194304,32,2,0.015246
intrinsics,int32,4194304,32,4,0.012311
intrinsics,int32,4194304,32,8,0.038044
reference,int64,4194304,64,0,0.013431
intrinsics,int64,4194304,64,1,0.053730
intrinsics,int64,4194304,64,2,0.028544
intrinsics,int64,4194304,64,4,0.022840
intrinsics,int64,4194304,64,8,0.074112
reference,float,4194304,32,0,0.069405
intrinsics,float,4194304,32,1,0.026748
intrinsics,float,4194304,32,2,0.015052
intrinsics,float,4194304,32,4,0.009445
intrinsics,float,4194304,32,8,0.034900
reference,double,4194304,64,0,0.069365
intrinsics,double,4194304,64,1,0.053526
intrinsics,double,4194304,64,2,0.028427
intrinsics,double,4194304,64,4,0.017138
intrinsics,double,4194304,64,8,0.067668
exp_type,type,size,precision,lmul,time
reference,int32,8388608,32,0,0.074938
intrinsics,int32,8388608,32,1,0.053468
intrinsics,int32,8388608,32,2,0.030474
intrinsics,int32,8388608,32,4,0.024661
intrinsics,int32,8388608,32,8,0.083990
reference,int64,8388608,64,0,0.028726
intrinsics,int64,8388608,64,1,0.107461
intrinsics,int64,8388608,64,2,0.056958
intrinsics,int64,8388608,64,4,0.045630
intrinsics,int64,8388608,64,8,0.149421
reference,float,8388608,32,0,0.138958
intrinsics,float,8388608,32,1,0.053457
intrinsics,float,8388608,32,2,0.030236
intrinsics,float,8388608,32,4,0.018938
intrinsics,float,8388608,32,8,0.077543
reference,double,8388608,64,0,0.138728
intrinsics,double,8388608,64,1,0.106895
intrinsics,double,8388608,64,2,0.057016
intrinsics,double,8388608,64,4,0.034573
intrinsics,double,8388608,64,8,0.137509
exp_type,type,size,precision,lmul,time
reference,int32,16777216,32,0,0.149835
intrinsics,int32,16777216,32,1,0.107343
intrinsics,int32,16777216,32,2,0.061084
intrinsics,int32,16777216,32,4,0.049296
intrinsics,int32,16777216,32,8,0.171685
reference,int64,16777216,64,0,0.057694
intrinsics,int64,16777216,64,1,0.214048
intrinsics,int64,16777216,64,2,0.113897
intrinsics,int64,16777216,64,4,0.091182
intrinsics,int64,16777216,64,8,0.299103
reference,float,16777216,32,0,0.277720
intrinsics,float,16777216,32,1,0.107341
intrinsics,float,16777216,32,2,0.060461
intrinsics,float,16777216,32,4,0.038152
intrinsics,float,16777216,32,8,0.159813
reference,double,16777216,64,0,0.277648
intrinsics,double,16777216,64,1,0.213991
intrinsics,double,16777216,64,2,0.113842
intrinsics,double,16777216,64,4,0.069252
intrinsics,double,16777216,64,8,0.273870
exp_type,type,size,precision,lmul,time
reference,int32,33554432,32,0,0.300381
intrinsics,int32,33554432,32,1,0.214140
intrinsics,int32,33554432,32,2,0.122215
intrinsics,int32,33554432,32,4,0.098834
intrinsics,int32,33554432,32,8,0.343343
reference,int64,33554432,64,0,0.114117
intrinsics,int64,33554432,64,1,0.428916
intrinsics,int64,33554432,64,2,0.228607
intrinsics,int64,33554432,64,4,0.182192
intrinsics,int64,33554432,64,8,0.595057
reference,float,33554432,32,0,0.555620
intrinsics,float,33554432,32,1,0.214270
intrinsics,float,33554432,32,2,0.121122
intrinsics,float,33554432,32,4,0.076369
intrinsics,float,33554432,32,8,0.318970
reference,double,33554432,64,0,0.556375
intrinsics,double,33554432,64,1,0.427616
intrinsics,double,33554432,64,2,0.227669
intrinsics,double,33554432,64,4,0.138633
intrinsics,double,33554432,64,8,0.544086
exp_type,type,size,precision,lmul,time
reference,int32,67108864,32,0,0.602287
intrinsics,int32,67108864,32,1,0.428881
intrinsics,int32,67108864,32,2,0.244433
intrinsics,int32,67108864,32,4,0.198948
intrinsics,int32,67108864,32,8,0.689962
reference,int64,67108864,64,0,0.228409
intrinsics,int64,67108864,64,1,0.856619
intrinsics,int64,67108864,64,2,0.456565
intrinsics,int64,67108864,64,4,0.365306
intrinsics,int64,67108864,64,8,1.206203
reference,float,67108864,32,0,1.112967
intrinsics,float,67108864,32,1,0.430808
intrinsics,float,67108864,32,2,0.242720
intrinsics,float,67108864,32,4,0.152555
intrinsics,float,67108864,32,8,0.640100
reference,double,67108864,64,0,1.111357
intrinsics,double,67108864,64,1,0.858824
intrinsics,double,67108864,64,2,0.456610
intrinsics,double,67108864,64,4,0.276831
intrinsics,double,67108864,64,8,1.103332
